ordinal,name,rva,kind,pdb_rva_candidates
5796,?SetDefaultCharFormat@CRichEditCtrl@@QAEHAAUCHARFORMAT2A@@@Z,0x0008a1ee,code,1
5833,?SetFocus@CWnd@@QAEPAV1@XZ,0x000176ae,code,1
5859,?SetIndicators@CStatusBar@@QAEHPBIH@Z,0x0000cfe2,code,1
5866,?SetItem@CListCtrl@@QAEHHHIPBDHIIJ@Z,0x00089870,code,1
5868,?SetItem@CTreeCtrl@@QAEHPAU_TREEITEM@@IPBDHHIIJ@Z,0x00088fc2,code,1
5871,?SetItemState@CListCtrl@@QAEHHII@Z,0x00088da0,code,1
5873,?SetItemText@CListCtrl@@QAEHHHPBD@Z,0x00088dcb,code,1
5894,?SetMessageText@CFrameWnd@@QAEXPBD@Z,0x000114c8,code,1
5912,?SetOccDialogInfo@CDialog@@MAEHPAU_AFX_OCC_DIALOG_INFO@@@Z,0x0008fa46,code,1
5913,?SetOccDialogInfo@CDialogBar@@MAEHPAU_AFX_OCC_DIALOG_INFO@@@Z,0x00097001,code,1
5915,?SetOccDialogInfo@CWnd@@MAEHPAU_AFX_OCC_DIALOG_INFO@@@Z,0x00034d50,code,6
5934,?SetPathName@CDocument@@UAEXPBDH@Z,0x00011894,code,1
5960,?SetProxy@CWnd@@UAEJPAUIAccessibleProxy@@@Z,0x0008e36d,code,1
5969,?SetRange@CSliderCtrl@@QAEXHHH@Z,0x000898b5,code,1
5975,?SetRegistryKey@CWinApp@@IAEXPBD@Z,0x0000dcb3,code,1
5986,?SetScrollPos@CWnd@@QAEHHHH@Z,0x00013975,code,1
5987,?SetScrollRange@CWnd@@QAEXHHHH@Z,0x0008e57d,code,1
5991,?SetSel@CRichEditCtrl@@QAEXJJ@Z,0x000103bc,code,1
5993,?SetSelectionCharFormat@CRichEditCtrl@@QAEHAAU_charformat@@@Z,0x00010403,code,1
5994,?SetSelectionCharFormat@CRichEditCtrl@@QAEHAAUCHARFORMAT2A@@@Z,0x0008a20c,code,1
6014,?SetStatusText@CControlBar@@UAEHH@Z,0x00096a4d,code,1
6017,?SetStretchBltMode@CDC@@QAEHH@Z,0x00014139,code,1
6043,?SetTitle@CDocument@@UAEXPBD@Z,0x0000fca2,code,1
6057,?SetViewportOrg@CDC@@UAE?AVCPoint@@HH@Z,0x000181c6,code,1
6065,?SetWindowPos@CWnd@@QAEHPBV1@HHHHI@Z,0x0003463e,code,1
6067,?SetWindowTextA@CWnd@@QAEXPBD@Z,0x000347b8,code,1
6090,?ShowWindow@CWnd@@QAEHH@Z,0x00034ad0,code,1
6118,?StringLength@?$CSimpleStringT@D$00@ATL@@SAHPBD@Z,0x0004881c,code,2
6120,?SubclassWindow@CWnd@@QAEHPAUHWND__@@@Z,0x0000db50,code,1
6144,?TrackPopupMenu@CMenu@@QAEHIHHPAVCWnd@@PBUtagRECT@@@Z,0x0008e3f6,code,1
6174,?TrimLeft@?$CStringT@DV?$StrTraitMFC_DLL@DV?$ChTraitsCRT@D@ATL@@@@@ATL@@QAEAAV12@XZ,0x0004a05c,code,1
6180,?TrimRight@?$CStringT@DV?$StrTraitMFC_DLL@DV?$ChTraitsCRT@D@ATL@@@@@ATL@@QAEAAV12@XZ,0x0004a010,code,1
6219,?Unregister@CWinApp@@UAEHXZ,0x000ae724,code,1
6236,?UpdateData@CWnd@@QAEHH@Z,0x0000d6e4,code,1
