name,target_rva,target_size,source,notes
?bfmeDel1086@BfmeC1086@@QAEXPAVBfmeQ1086@@@Z,0x002E4180,247,Code/GameEngine/Source/Common/BfmeConv1086.cpp,reloc-derived;call-sites=1;identity=real
?bfmeLogMsg574@@YAXPBD@Z,0x002E5090,229,Code/GameEngine/Source/Common/BfmeConv824.cpp,reloc-derived;call-sites=1;identity=real
?bfmeNotify1_574@@YAXPAX0@Z,0x002E51C0,331,Code/GameEngine/Source/Common/BfmeConv824.cpp,reloc-derived;call-sites=1;identity=real
?bfmeNotify2_574@@YAXPAX0@Z,0x002E5390,412,Code/GameEngine/Source/Common/BfmeConv824.cpp,reloc-derived;call-sites=1;identity=real
??0BfmeSortElem20Tail@@QAE@ABV0@@Z,0x002E7320,192,Code/Libraries/Source/WWVegas/WWLib/stlport_insertion_sort_s4sortelem20.cpp,reloc-derived;call-sites=1;identity=real
?_M_insert_overflow@?$vector@UGen_t_002e8eb0_m4pod@@V?$allocator@UGen_t_002e8eb0_m4pod@@@_STL@@@_STL@@IAEXPAUGen_t_002e8eb0_m4pod@@ABU3@ABU__false_type@2@I_N@Z,0x002E7940,282,Code/gen_small/fam_019.cpp,reloc-derived;call-sites=1;identity=generated
??0?$pair@$$CBUGen_t_002ea020_k4@@UGen_t_002ea020_p12cd@@@_STL@@QAE@ABU01@@Z,0x002E8FC0,87,Code/gen_small/tgrid_110.cpp,reloc-derived;call-sites=1;identity=generated
?gen002EACD0@@YAXPAX00HH@Z,0x002EACD0,184,Code/GameEngine/Source/Common/ConstantZeroForwarders.cpp,reloc-derived;call-sites=1;identity=generated
?gen002EADF0@@YAXPAX0H0@Z,0x002EADF0,47,Code/GameEngine/Source/Common/ConstantZeroForwarders.cpp,reloc-derived;call-sites=1;identity=generated
??$__linear_insert@PAUS4SortElem20@@U1@US4Cmp002EB8E0@@@_STL@@YAXPAUS4SortElem20@@0U1@US4Cmp002EB8E0@@@Z,0x002EAF10,197,Code/Libraries/Source/WWVegas/WWLib/stlport_insertion_sort_s4sortelem20.cpp,reloc-derived;call-sites=1;identity=real
?gen002EB330@@YAXPAX00H0@Z,0x002EB330,290,Code/GameEngine/Source/Common/ConstantZeroForwarders.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_002eb990@@UAE@XZ,0x002EB5C0,331,Code/gen_small/dtors_004.cpp,reloc-derived;call-sites=1;identity=generated
?bfmeHelper760@@YAXPAXH@Z,0x002ED760,101,Code/GameEngine/Source/Common/BfmeConv831.cpp,reloc-derived;call-sites=1;identity=real
??1ScriptActions@@UAE@XZ,0x002F1B80,108,Code/GameEngine/Source/GameLogic/ScriptEngine/ScriptActions.cpp,reloc-derived;call-sites=1;identity=real
?applyAreaState@Rva002F73B0Owner@@QAEXABVAsciiString@@_N1@Z,0x002F7340,82,Code/GameEngine/Source/Common/Bfme/Rva002F73B0AreaForwarder.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_003390a0@@UAE@XZ,0x003367E0,80,Code/gen_small/dtors_004.cpp,reloc-derived;call-sites=1;identity=generated
?setObjectsShouldReceiveDifficultyBonus@ScriptEngine@@QAEX_N@Z,0x00337070,13,Code/GameEngine/Source/GameLogic/System/GameLogic_prepareNewGame_Thunk.cpp,reloc-derived;call-sites=1;identity=real
??1Gen_dtor_00339fa0@@UAE@XZ,0x00339E20,86,Code/gen_small/dtors_004.cpp,reloc-derived;call-sites=1;identity=generated
?bfmeCall939A@@YAXXZ,0x0033AFF0,125,Code/GameEngine/Source/Common/BfmeConv939.cpp,reloc-derived;call-sites=1;identity=real
