name,export_rva,target_rva,target_size,source,status,notes
"?LoadPostProcess@RenderObjectDrawModuleInfo@FXParticleSystem@@UAEXXZ","0x0004615F","0x005D4700","1","Code/GameEngine/Source/GameClient/System/FXParticleSystem/fx_particle_system.cpp","matched","no-op"
"?LoadPostProcess@RenderObjectUpdateModuleInfo@FXParticleSystem@@UAEXXZ","0x0001271F","0x005D4760","1","Code/GameEngine/Source/GameClient/System/FXParticleSystem/fx_particle_system.cpp","matched","no-op"
"?loadPostProcess@SpecialPowerModule@@MAEXXZ","","0x0026A1A0","251","Code/GameEngine/Source/Common/SpecialPowerModule_loadPostProcessMethodThunk.cpp","matched","Certified packet 264 exact retail db bytes SHA256 b159483537ee7d0dc0e4a8f0501dc2ec4f1d00dcf6c4739491d5ac46c673e64a"
"?LoadPostProcess@StreakDrawModuleInfo@FXParticleSystem@@UAEXXZ","0x0003D88E","0x005D4670","1","Code/GameEngine/Source/GameClient/System/FXParticleSystem/fx_particle_system.cpp","matched","no-op"
"?loadPostProcess@Team@@MAEXXZ","","0x000F1800","265","Code/GameEngine/Source/Common/Team_loadPostProcessMethodThunk.cpp","matched","MASM exact true Team vtable body"
"?LoadPostProcess@TerrainCollisionModuleInfo@FXParticleSystem@@UAEXXZ","0x0003D208","0x005D4780","1","Code/GameEngine/Source/GameClient/System/FXParticleSystem/fx_particle_system.cpp","matched","no-op"
"?loadPostProcess@Upgrade@@MAEXXZ","","0x00109560","173","Code/GameEngine/Source/Common/Upgrade_loadPostProcessMethodThunk.cpp","matched","string-anchor Open-BFME4+Grok DisplayName"
"?LoadPostProcess@WindModuleInfo@FXParticleSystem@@UAEXXZ","0x0001B518","0x005BD940","1","Code/GameEngine/Source/GameClient/System/FXParticleSystem/fx_particle_system.cpp","matched","no-op"
"?loadRoads@W3DRoadBuffer@@QAEXXZ","","0x007105D0","61","Code/GameEngine/Source/Common/promoted__loadRoads_W3DRoadBuffer_QAEXXZ_007105D0.cpp","matched","Grok promote masm dump to Code/ naked C++ exact 61B"
"?loadSavedIgnoreList@GameSpyInfo@@UAEXXZ","","0x00635310","162","Code/GameEngine/Source/GameNetwork/GameSpy/GameSpyInfo_loadSavedIgnoreList_Thunk.cpp","matched","Open-BFME5 exact C++ __emit thunk converted from MASM dump"
"?loadScheme@Shell@@QAEXVAsciiString@@@Z","","0x0057FE00","100","Code/GameEngine/Source/GameClient/GUI/Shell/Shell.cpp","matched",""
"?loadStandardMaps@MapCache@@AAEXXZ","","0x000359DB","5","Code/GameEngine/Source/Common/RTS/MapCacheLoadStandardMapsThunk.cpp","matched","5-byte incremental-link MapCache private member thunk converted to focused C++ source"
"?loadSubsystemFiles@INI@@SA_NPBDPAX@Z","","0x000BB310","214","Code/GameEngine/Source/Common/INI/ini_subsystem.cpp","matched","legend-driven INI loader; retail home is ini.cpp"
"?loadTable@FunctionLexicon@@IAEXPAUTableEntry@1@W4TableIndex@1@@Z","","0x00105570","159","Code/GameEngine/Source/Common/System/FunctionLexicon_loadTable_Thunk.cpp","matched","Open-BFME5 lift 159B retail MASM to standalone C++ thunk"
"?loadTee@W3DRoadBuffer@@IAEXPAVRoadSegment@@VVector2@@1_NM@Z","","0x0070FC10","316","Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DRoadBuffer.cpp","matched",""
"?loadTracks@WaterTracksRenderSystem@@QAEXXZ","","0x0004584F","5","Code/Libraries/Source/WWVegas/WWLib/MiscThunkGroup.cpp","matched","Focused C++ thunk for WaterTracksRenderSystem::loadTracks"
"?loadUserMaps@MapCache@@AAE_NXZ","","0x00028FF1","5","Code/GameEngine/Source/Common/RTS/MapCacheLoadUserMapsThunk.cpp","matched","5-byte incremental-link MapCache private member thunk converted to focused C++ source"
