# Ghidra boundary artifacts among the <= 16 byte functions: RVAs whose
# retail bytes do not read as a complete function, so no source could ever
# reproduce them. tools/gen_small.py never claims one.
#
# Regenerate (deterministic, from the retail image): python3 tools/gen_small.py classify
# Format: 0x<rva> <reason>
0x00047262 mid-instruction-target: jmp rel32 to 0x001919D0, which is inside a known function and is not one's start
0x00047749 mid-instruction-target: jmp rel32 to 0x0013D0D0, which is inside a known function and is not one's start
0x00047B63 mid-instruction-target: jmp rel32 to 0x00383CE0, which is inside a known function and is not one's start
0x00047E74 mid-instruction-target: jmp rel32 to 0x0075D590, which is inside a known function and is not one's start
0x00048801 mid-instruction-target: jmp rel32 to 0x0044FBF0, which is inside a known function and is not one's start
0x00049431 mid-instruction-target: jmp rel32 to 0x000928E0, which is inside a known function and is not one's start
0x00049A3A mid-instruction-target: jmp rel32 to 0x002DF760, which is inside a known function and is not one's start
0x0004A2E6 mid-instruction-target: jmp rel32 to 0x0013A2B0, which is inside a known function and is not one's start
0x0004A3A9 mid-instruction-target: jmp rel32 to 0x000663F0, which is inside a known function and is not one's start
0x0004A64C mid-instruction-target: jmp rel32 to 0x00696400, which is inside a known function and is not one's start
0x0004AAAC mid-instruction-target: jmp rel32 to 0x00207A70, which is inside a known function and is not one's start
0x0004AEDF mid-instruction-target: jmp rel32 to 0x00065390, which is inside a known function and is not one's start
0x0004B0C4 mid-instruction-target: jmp rel32 to 0x003AC570, which is inside a known function and is not one's start
0x00060637 mid-instruction-target: jmp rel32 to 0x000604D3, which is inside a known function and is not one's start
0x0006CDF0 int3-truncated: body ends in padding, not an instruction (FUN_0046cdf0)
0x0006CFD0 int3-truncated: body ends in padding, not an instruction (FUN_0046cfd0)
0x0006D1D0 int3-truncated: body ends in padding, not an instruction (FUN_0046d1d0)
0x0006D3B0 int3-truncated: body ends in padding, not an instruction (FUN_0046d3b0)
0x0006D5C0 int3-truncated: body ends in padding, not an instruction (FUN_0046d5c0)
0x0006D7A0 int3-truncated: body ends in padding, not an instruction (FUN_0046d7a0)
0x0006D990 int3-truncated: body ends in padding, not an instruction (FUN_0046d990)
0x0006DB70 int3-truncated: body ends in padding, not an instruction (FUN_0046db70)
0x0008B017 gap-undelimited-run: the thunk run at 0x0008B017 runs straight into other code, so it is a function tail, not a standalone thunk
0x0008B03F gap-undelimited-run: the thunk run at 0x0008B03F runs straight into other code, so it is a function tail, not a standalone thunk
0x0008B05F gap-undelimited-run: the thunk run at 0x0008B05F runs straight into other code, so it is a function tail, not a standalone thunk
0x0008B07F gap-undelimited-run: the thunk run at 0x0008B07F runs straight into other code, so it is a function tail, not a standalone thunk
0x0008B09F gap-undelimited-run: the thunk run at 0x0008B09F runs straight into other code, so it is a function tail, not a standalone thunk
0x0008B0BF gap-undelimited-run: the thunk run at 0x0008B0BF runs straight into other code, so it is a function tail, not a standalone thunk
0x0008B0DF gap-undelimited-run: the thunk run at 0x0008B0DF runs straight into other code, so it is a function tail, not a standalone thunk
0x0008B125 gap-undelimited-run: the thunk run at 0x0008B125 runs straight into other code, so it is a function tail, not a standalone thunk
0x0008B35C gap-undelimited-run: the thunk run at 0x0008B35C runs straight into other code, so it is a function tail, not a standalone thunk
0x0008B384 gap-undelimited-run: the thunk run at 0x0008B384 runs straight into other code, so it is a function tail, not a standalone thunk
