rva	size	similarity	margin	zh_symbol	zh_source
0x003EAC80	1101	0.83	0.24	?adjustToPossibleDestination@Pathfinder@@QAE_NPAVObject@@ABVLocomotorSet@@PAUCoord3D@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPathfind.cpp
0x003EC141	1520	0.63	0.32	?patchPath@Pathfinder@@EAEPAVPath@@PBVObject@@ABVLocomotorSet@@PAV2@_N@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPathfind.cpp
0x003EC8C0	750	0.77	0.42	?findSafePath@Pathfinder@@EAEPAVPath@@PBVObject@@ABVLocomotorSet@@PBUCoord3D@@22M@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPathfind.cpp
0x003ECC70	640	0.94	0.94	?segmentIntersectsTallBuilding@Pathfinder@@IAE_NPBVPathNode@@PAV2@W4ObjectID@@PAUCoord3D@@33@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPathfind.cpp
0x003EDC50	657	0.83	0.83	?getAircraftPath@Pathfinder@@QAEPAVPath@@PBVObject@@PBUCoord3D@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPathfind.cpp
0x003F1690	337	0.70	0.06	?tightenPathCallback@Pathfinder@@KAHPAV1@PAVPathfindCell@@1HHPAX@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPathfind.cpp
0x003F2160	2045	0.69	0.42	?findGroundPath@Pathfinder@@QAEPAVPath@@PBUCoord3D@@0H_N@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPathfind.cpp
0x003FBED0	767	0.63	0.09	?allocateCellsForWallLayer@PathfindLayer@@QAEXPBUIRegion2D@@PAW4ObjectID@@H@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPathfind.cpp
0x0040D540	455	0.82	0.82	?addText@CreditsManager@@QAEXVAsciiString@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/Credits.cpp
0x00410F90	276	0.71	0.71	?drawUIText@Drawable@@QAEXXZ	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/Drawable.cpp
0x00415790	496	0.98	0.67	?update@TintEnvelope@@QAEXXZ	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/Drawable.cpp
0x0041A2E0	466	0.68	0.68	?flashAsSelected@Drawable@@QAEXPBURGBColor@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/Drawable.cpp
0x00421830	674	0.95	0.95	?draw@Drawable@@QAEXPAVView@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/Drawable.cpp
0x00425720	204	0.62	0.03	?preloadAssets@ParticleSystemManager@@UAEXW4TimeOfDay@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/System/ParticleSys.cpp
0x0042F5A0	2666	0.84	0.60	?init@GameClient@@UAEXXZ	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GameClient.cpp
