vtable_rva	label	slot	func_rva	func_name
0xD10FF0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	3	0x1CE6D	writeINI
0xD11004	`vftable'	1	0x1B518	LoadPostProcess
0xD11004	`vftable'	2	0x3CA1	GetSnapshotName
0xD11004	`vftable'	3	0xB235	DoXfer
0xD11018	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<7>'}	1	0x4000C	thunk_FUN_009dc820
0xD1101C	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x4000C	thunk_FUN_009dc820
0xD11030	`vftable'	1	0x1B518	LoadPostProcess
0xD11030	`vftable'	2	0x3CA1	GetSnapshotName
0xD11030	`vftable'	3	0xB235	DoXfer
0xD11044	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<7>'}	0	0x2CE6C	getClass
0xD11044	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<7>'}	1	0x18430	thunk_FUN_009db490
0xD11044	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<7>'}	2	0x380D7	clone
0xD11044	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<7>'}	3	0x1A4F1	createModule
0xD11048	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x18430	thunk_FUN_009db490
0xD11048	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	1	0x380D7	clone
0xD11048	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	2	0x1A4F1	createModule
0xD1105C	`vftable'	1	0x1271F	LoadPostProcess
0xD1105C	`vftable'	2	0x1C837	GetSnapshotName
0xD1105C	`vftable'	3	0x18926	DoXfer
0xD11070	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<2>'}	0	0x47D98	getClass
0xD11070	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<2>'}	1	0x425F	thunk_FUN_009db630
0xD11070	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<2>'}	2	0x18462	clone
0xD11070	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<2>'}	3	0x1B00E	createModule
