size,rva,zh_symbol,zh_source,dump_file
458,0x9436c0,?Render@SceneClass@@MAEXAAVRenderInfoClass@@@Z,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/Libraries/Source/WWVegas/WW3D2/scene.cpp,game/gen_asm/d_00939520.asm
342,0x940610,??0FontCharsClass@@QAE@XZ,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/Libraries/Source/WWVegas/WW3D2/render2dsentence.cpp,game/gen_asm/d_00939520.asm
322,0x210730,??0FXListStore@@QAE@XZ,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/FXList.cpp,game/gen_asm/d_0020eb40.asm
310,0x79efd0,??0MobNexusContainModuleData@@QAE@XZ,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Contain/MobNexusContain.cpp,game/gen_asm/d_0079d530.asm
305,0x1adb80,??0PolygonTrigger@@QAE@H@Z,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Map/PolygonTrigger.cpp,game/gen_asm/d_001aba80.asm
287,0x729180,??0ControlBarSchemeAnimation@@QAE@XZ,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/ControlBar/ControlBarScheme.cpp,game/gen_asm/d_00725710.asm
284,0x6ca4f0,?freeMapResources@BaseHeightMapRenderObjClass@@UAEHXZ,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngineDevice/Source/W3DDevice/GameClient/BaseHeightMap.cpp,game/gen_asm/d_006c0fa0.asm
266,0x71d130,?cull@W3DTreeBuffer@@IAEXPBVCameraClass@@@Z,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DTreeBuffer.cpp,game/gen_asm/d_00717e90.asm
244,0x77f050,??0W3DTankDraw@@QAE@PAVThing@@PBVModuleData@@@Z,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DTankDraw.cpp,game/gen_asm/d_004507a0.asm
239,0x6fc970,?Update_Sub_Object_Transforms@CollectionClass@@MAEXXZ,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/Libraries/Source/WWVegas/WW3D2/collect.cpp,game/gen_asm/d_006fb8e0.asm
239,0x6fc970,??0EMPUpdateModuleData@@QAE@XZ,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/Thing/ModuleFactory.cpp,game/gen_asm/d_006fb8e0.asm
236,0x82660,?getNicksForEmail@GameSpyLoginPreferences@@QAE?AV?$list@VAsciiString@@V?$allocator@VAsciiString@@@_STL@@@_STL@@VAsciiString@@@Z,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLLoginMenu.cpp,game/gen_asm/d_0007cab0.asm
224,0x18a6c0,??0ShellMenuSchemeImage@@QAE@XZ,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/Shell/ShellMenuScheme.cpp,game/gen_asm/d_00180810.asm
218,0x278280,?isAcceptingExperiencePoints@ExperienceTracker@@QBE_NXZ,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/ExperienceTracker.cpp,game/gen_asm/d_00272800.asm
213,0x642300,??0GameResultsQueue@@QAE@XZ,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameNetwork/GameSpy/Thread/GameResultsThread.cpp,game/gen_asm/d_00630d60.asm
211,0x4dfd10,?doLoadGame@@YAXXZ,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/PopupSaveLoad.cpp,game/gen_asm/d_004ce980.asm
206,0x4e8a70,?initLANMultiPlayer@@YAXXZ,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/ScoreScreen.cpp,game/gen_asm/d_004e5420.asm
203,0x6998c0,?scrubVelocity2D@PhysicsBehavior@@QAEXM@Z,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/PhysicsUpdate.cpp,game/gen_asm/d_00693e20.asm
203,0x490790,??0MapTransferLoadScreen@@QAE@XZ,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/LoadScreen.cpp,game/gen_asm/d_0048a320.asm
201,0x25fbf0,??0TransportContainModuleData@@QAE@XZ,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Contain/TransportContain.cpp,game/gen_asm/d_0025aee0.asm
190,0x6fbed0,??1W3DInGameUI@@UAE@XZ,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DInGameUI.cpp,game/gen_asm/d_006fb8e0.asm
185,0x16ad90,?evaluatePlayerDestroyedNOrMoreBuildings@ScriptConditions@@IAE_NPAVParameter@@00@Z,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/ScriptEngine/ScriptConditions.cpp,game/gen_asm/d_0015f070.asm
181,0x77f830,??0W3DTruckDrawModuleData@@QAE@XZ,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DTruckDraw.cpp,game/gen_asm/d_004507a0.asm
181,0x77f830,??0OverlordContainModuleData@@QAE@XZ,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Contain/OverlordContain.cpp,game/gen_asm/d_004507a0.asm
181,0x77f830,??0HelixContainModuleData@@QAE@XZ,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Contain/HelixContain.cpp,game/gen_asm/d_004507a0.asm
175,0x5bb400,?parseMouseCursorDefinition@INI@@SAXPAV1@@Z,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/Input/Mouse.cpp,game/gen_asm/d_005b3e30.asm
175,0x3d2e00,?isOffMap@DeliverPayloadAIUpdate@@QBE_NXZ,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/AIUpdate/DeliverPayloadAIUpdate.cpp,game/gen_asm/d_003ca7c0.asm
174,0x663450,?getFrameCommandList@ConnectionManager@@QAEPAVNetCommandList@@I@Z,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameNetwork/ConnectionManager.cpp,game/gen_asm/d_0065fae0.asm
170,0x1916f0,?Set_Key@HermiteSpline3DClass@@UAEXHABVVector3@@@Z,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/Libraries/Source/WWVegas/WWMath/hermitespline.cpp,game/gen_asm/d_00188e80.asm
