rva	size	similarity	margin	zh_symbol	zh_source
0x00445080	3748	0.63	0.44	?createCommandHint@InGameUI@@UAEXPBVGameMessage@@@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/InGameUI.cpp
0x004481C0	1066	0.69	0.69	?selectMatchingAcrossRegion@InGameUI@@UAEHPAUIRegion2D@@@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/InGameUI.cpp
0x0044B3F0	716	0.83	0.83	?reset@InGameUI@@UAEXXZ	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/InGameUI.cpp
0x00452AD0	656	0.85	0.85	?positionAdditionalImages@@YAXPAVMapMetaData@@PAVGameWindow@@_N@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/SkirmishGameOptionsMenu.cpp
0x00454300	164	0.98	0.37	?resetMap@@YAXXZ	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/MapUtil.cpp
0x00454B00	802	0.68	0.68	?loadMap@@YA_NVAsciiString@@@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/MapUtil.cpp
0x004550C0	1814	0.67	0.39	?writeCacheINI@MapCache@@AAEX_N@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/MapUtil.cpp
0x00458C80	376	0.83	0.83	?createRadiusDecal@RadiusDecalTemplate@@QBEXABUCoord3D@@MPBVPlayer@@AAVRadiusDecal@@@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/RadiusDecal.cpp
0x0045AC40	669	0.73	0.52	?updateIniSettings@SnowManager@@UAEXXZ	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/Snow.cpp
0x0045C2F0	229	1.00	1.00	?getScreenCornerWorldPointsAtZ@View@@UAEXPAUCoord3D@@000M@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/View.cpp
0x0047DEC0	264	0.83	0.04	?gogoGadgetRadioButton@GameWindowManager@@UAEPAVGameWindow@@PAV2@IHHHHPAVWinInstanceData@@PAU_RadioButtonData@@PAVGameFont@@_N@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/GameWindowManager.cpp
0x0047E010	325	0.82	0.82	?gogoGadgetStaticText@GameWindowManager@@UAEPAVGameWindow@@PAV2@IHHHHPAVWinInstanceData@@PAU_TextData@@PAVGameFont@@_N@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/GameWindowManager.cpp
0x0047E630	1569	0.79	0.66	?winProcessMouseEvent@GameWindowManager@@UAE?AW4WinInputReturnCode@@W4GameWindowMessage@@PAUICoord2D@@PAX@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/GameWindowManager.cpp
0x0047FCF0	738	0.78	0.78	?gogoGadgetTextEntry@GameWindowManager@@UAEPAVGameWindow@@PAV2@IHHHHPAVWinInstanceData@@PAU_EntryData@@PAVGameFont@@_N@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/GameWindowManager.cpp
0x004850C0	736	0.89	0.89	?parseData@@YA_NPAPAXPAD1@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/GameWindowManagerScript.cpp
0x0049DA40	464	0.75	0.75	??1ControlBar@@UAE@XZ	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/ControlBar/ControlBar.cpp
0x004A5950	959	0.60	0.39	?updateContextCommand@ControlBar@@IAEXXZ	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/ControlBar/ControlBarCommand.cpp
0x004A9010	600	0.70	0.70	?addCommonCommands@ControlBar@@IAEXPAVDrawable@@_N@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/ControlBar/ControlBarMultiSelect.cpp
0x004A9620	655	0.78	0.32	?updateContextMultiSelect@ControlBar@@IAEXXZ	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/ControlBar/ControlBarMultiSelect.cpp
0x004B42F0	2153	0.62	0.31	?GadgetComboBoxSystem@@YA?AW4WindowMsgHandledType@@PAVGameWindow@@III@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/Gadget/GadgetComboBox.cpp
0x004B4FF0	1065	0.81	0.17	?GadgetHorizontalSliderInput@@YA?AW4WindowMsgHandledType@@PAVGameWindow@@III@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/Gadget/GadgetHorizontalSlider.cpp
0x004B5530	951	0.84	0.01	?GadgetHorizontalSliderSystem@@YA?AW4WindowMsgHandledType@@PAVGameWindow@@III@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/Gadget/GadgetHorizontalSlider.cpp
0x004BE340	744	0.82	0.82	?GadgetTextEntrySystem@@YA?AW4WindowMsgHandledType@@PAVGameWindow@@III@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/Gadget/GadgetTextEntry.cpp
0x004BFFE0	1117	0.85	0.62	?LeftHUDInput@@YA?AW4WindowMsgHandledType@@PAVGameWindow@@III@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/GUICallbacks/ControlBarCallback.cpp
0x004C0560	1459	0.73	0.73	?ControlBarSystem@@YA?AW4WindowMsgHandledType@@PAVGameWindow@@III@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/GUICallbacks/ControlBarCallback.cpp
